英吉利语,现代白话,先秦文言,先秦文言略言（同全言则用“-”）
Mox Health,玛珂生命,玛珂命,-
Candle Proximity,烛火临近,近烛,-
Murder Power,杀戮之力,戮威,-
Spell Power,法术力量,术威,-
CPU,中央处理器,中枢,-
wildlife camera,野生动物照相机,野物影器,-
particle scanner,粒子扫描仪,粒省器,-
wizard pupil,魔法学徒,巫徒,-
starting deck,起始手牌/起始卡组,初牌列,-
chest,箱子,匮,-
casket,棺材,棺,-
giblets and scantlings,内脏和杂物/残料,脏腑残屑,-
hard of hearing,听力障碍/耳背,闻艰,-
monocle,单片眼镜,单镜,-
pale,苍白,苍白,-
greedy,贪婪,贪,-
Press any button to start,按任意键开始,任叩发一键以始,-
Toughness,生命值/韧性,命,-
The Ring,圆环,环,-
KEEP SEALED,请勿开封,毋启,-
salvation,救赎,救,-
clock,时钟,钟,-
Bird,鸟类,羽属,-
Hooved,有蹄类,蹄属,-
Reptile,爬行类,鳞属,-
Collected Cards,已收集卡牌,既得之诸牌,-
Permissions Request,权限请求,得权之请,-
hard drive,硬盘,硬盘,-
file size,文件大小,文件巨细,-
memory card,内存卡,识卡,-
New Game Card,新游戏卡牌,新局牌,-
print progress,打印进程,印之进度,-
charging,正在充电/充电中,惟电之充,-
Confirm,确认,定,-
Uploading,正在上传,惟其之上载,-
DELETE CONFIRMATION,删除确认,削前之定,-
floppy drive,软盘驱动器/软盘,软盘,-
error,错误,误,-
holo pelt,虚幻毛皮,幻裘,-
gemify,宝石化/变成宝石,玉化,-
Duel Disk,决斗盘,角盘,-
Challenger,挑战者,角者,-
Ancient Obol,古银币,古奥波勒,-
worship,敬拜/崇拜,拜,-
greater good,更大的利益,大益,-
surveillance camera,监控摄像头,守视影器,-
lift,电梯,升降机,-
giddy,飘飘然/得意,自得,-
reign,统治,治,-
Great Scrybe,伟大冥刻者,大冥勒者,-
Activated Ability,激活能力,按发印契,-
warm,温暖/取暖,燠,-
tarot card,塔罗牌,卜牌,-
holo world,全息世界,幻界,-
triangle,三角形,三角,-
blue man,蓝色的人,蓝人,-
The Fool,愚人,愚者,-
The Tower,高塔,高台,-
The Empress,女皇,后,-
Death,死神,死,-
The Devil,魔鬼,鬼,-
Karnoffel Code,卡涅夫尔码,卡涅夫尔码,-
oblivion,遗忘/虚无,湮灭,-
gold,黄金,金,-
gamble,赌博/赌运,赌,-
chance,运气/机会,运,-
promise,承诺,诺,-
totem pieces,图腾碎片,神偶诸片,-
redeem,救赎/挽回,自赎,-
steal,偷/窃取,窃,-
satellite dish,卫星碟形天线,卫星盘,-
deckbuilding,牌组建设,牌列之诀,-
plaything,玩物,戏具,-
mushroom,蘑菇,蕈,-
settlement,定居点,邑,-
Goo Mage,黏液法师,胶巫,-
Pike Mage,长矛法师,矛巫,-
Free Legs,自由之足,释足,-
Unsealed Body,解封之躯,启躯,-
Released Arms,解放之臂,释臂,-
Unleashed Tyrant,解缚的暴君,纵暴君,-
Ethereal Sigils,虚空印记,虚印契,-
Bonehorn,骨质号角,骨号,-
Clinger,粘人精,附趋,-
Great Kraken,巨型克拉肯,巨克拉肯,-
Hand Tentacle,手牌触手,手触,-
Tail Feathers,鸟的尾羽,尾羽,-
Furry Tail,毛尾巴,毛尾,-
Wriggling Leg,蠕动的腿,蠕足,-
Lonely Wizbot,孤独的巫师机器人,孤巫机人,-
Curve Hopper,跑赢曲线,越曲者,-
Goranj's Vessel,绿橙蓝的容器,绿橙之皿,-
Orlu's Vessel,橙蓝绿的容器,橙蓝之皿,-
Bleene's Vessel,蓝绿橙的容器,蓝绿之皿,-
Junior Sage,初级贤者,少贤,-
Card Counter,卡牌计数器,计牌者,-
Flicker FX,闪光特效,明灭效,-
screen shake,屏幕抖动,屏震,-
Start Screen,开始画面,始屏,-
Alter Deck,变更牌组,易牌之列,-
Auto-Complete,自动添加,自补,-
Bone Lord's Femur,骨王的股骨,骨王之股骨,-
Blood Artist,鲜血画家,血绘者,-
Ancestral Vision,先人的预视,往者视,-
Reborn Hope,新生希望,更生望,-
Enduring Victory,持久得胜,久得胜,-
Avenging Druid,复仇的德鲁伊,林精之还仇,-
Accomplished Automaton,高明机械兽,工巧之机人,-
Wizard Mentor,巫师导师,巫者之尊师,-
Face to Face,面面相觑,二面觑,-
Squirrel Wrangler,松鼠驯师,驭鼠者,-
Gruesome Encore,恶心返场,凄复呕,-
Role Reversal,角色反转,攻守易,-
Balance of Power,力量平衡,力衡,-
Essence Capture,捕捉菁华,捕菁,-
Painter's Servant,画家仆役,画役,-
Natural Connection,自然联系,自然,-
Dramatic Finale,绚烂终曲,剧终,-
Collective Effort,携手合力,协携之共力,-
Dark Offering,黑暗献祭,玄冥之祀祭,-
Forgotten Lore,被遗忘的传说,遗闻,-
Grim Bounty,残酷报赏,惨赏,-
Agonizing Remorse,苦痛悔恨,痛悔,-
Unfinished Boss,未完成的头目,未竟之魁,-
Unpacking,正在解压,惟之解,-
Erase save,删除存档,削存录,-
Keep save,保留存档,留存录,-
REDACTED,隐去,阙如,-
continue,继续,续,-
cipher,密码,密辞,-
Credits,制作团队,列名,-
Creator,创作者,制者,-
Goobert,沽伯特,黏伯特,-
Boneless,无骨者,无骨者,-
Fonts,字体,字形,-
Special Thanks,特别鸣谢,特谢,-
Localization Team,本地化团队,方译之众,-
cuckoo clock,布谷鸟时钟,布谷钟,-
Smelting Room,熔炼室,冶室,-
friend,朋友,友,-
glitch,故障闪现/异常,错现,-
treasure,珍视/珍惜,重,-
appreciate,欣赏/重视,重,-
fragment,碎片,残片,-
registry,注册表,录籍,-
Ring,圆环,环,-
FILE ACCESS,文件访问/文件读取权限,启牍,-
subscriber,订阅者,从者,-
Aquaromans,水下罗马人,水下罗马人,-
Blood Guzzler,鲜血吞噬者,饮血者,-
Apparition,幽灵鬼影,幽影,-
Haunter,阴魂不散,祟灵,-
Edaxio,艾迪亚克佐,艾迪亚克佐,-
Virtual Realist,虚拟现实主义者,虚境实者,-
Ouroboros,衔尾蛇,衔尾蛇,-
Ourobot,机械衔尾蛇,衔尾机,-
Testing,测试,试,-
INVALID,无效,不效,-
The Woodlands,林地,林地,-
Annoying cards,惹人生厌的卡牌,可厌之牌,-
clover,三叶草,三叶草,-
pocket watch,怀表,怀表,-
slime,黏液,胶,-
Magpie's Glass,喜鹊的放大镜,鹊之镜,-
lice,虱子,虱,-
cannonball,炮弹,炮丸,-
vermin,害兽/害虫,虫豸,-
hatch,舱口/舱盖,舱盖,-
landlubber,旱鸭子/不谙海事者,旱鸭,-
crew,船员,舟卒,-
choice,选择,择,-
locked,锁定,锁,-
run,一局游戏/一轮流程,局,-
level requirements,级别要求/等级需求,阶限,-
Challenge Point,挑战点数,挑战点,-
Challenge Level,挑战关卡,挑战之阶,-
Chime,铃铛,铃,-
Misplay,昏招/失误,失着,-
Brood Parasite,滋生寄生虫,孳鸠,-
Double Strike,双重攻击,复击,-
Finical Hatchling,挑剔之兽,择雏,-
Made Of Stone,磐石之身,石身,-
Morsel,一口之量,一脔,-
Scavenger,拾荒者,拾骨者,-
Rampager,横冲直撞,横冲,-
mod,模组,补缀,-
Final Boss,最终头目,终竟易魁,-
Single Candle,单支蜡烛,孤烟独烛,-
Tipped Scales,天平不平,衡有偏倾,-
Free Reptiles,爬行类大放送,鳞属无直,-
Submersibles,潜水能手,潜者,-
Vanilla,香草/原版,原本,-
Mole Seaman,鼹鼠水手,鼹水手,-
Zombie Parrot,丧尸鹦鹉,尸鹦鹉,-
Flying Ant,飞蚂蚁,飞蚁,-
Aquasquirrel,水生松鼠,水松鼠,-
Wild Bull,野牛,莽牛,-
Cuckoo,布谷鸟,杜鹃,-
Dire Wolf,冰原狼,恐狼,-
Curious Egg,奇怪的蛋,奇卵,-
Hodag,神角畜,霍达格,-
Ijiraq,土卫二十二/伊吉拉克,伊耶拉克,-
Pelt Lice,虱子/毛皮虱子,裘虱,-
Mycobot,真菌机器人,菇机人,-
Wiseclock,时针顺,顺时钟,-
Spilled Blood,献祭之血,衅血,-
ACCEPT SURRENDER,接受投降,受降,-
NEW RUN,新的冒险,新局,-
CONTINUE RUN,继续上回,续局,-
UNLOCKS,已解锁内容,启封之物,-
EXIT MOD,退出模组,离此补缀,-
EXIT GAME,退出游戏,离退此戏,-
END RUN,终止冒险,止局,-
DEVLOG,开发日志,研作之札,-
CARDS UNLOCKED,已解锁卡牌,启封之牌,-
STARTER DECKS UNLOCKED,已解锁初始牌组,启封之初牌列,-
UNLOCKED CHALLENGES,已解锁挑战,启封之角竞,-
Dubious Challenge,存疑挑战,疑之角竞,-
Taunting Challenge,嘲讽挑战,讽之角竞,-
Rise to the Challenge,勇赢挑战,应竞而起,-
Master Trinketeer,琐物大师,什物大师,-
Start // Finish,开始 // 结束,始 // 终,-
Rookie Mistake,新手失误,生手之失,-
Bad Moon,邪恶之月,万恶之月,-
Skull Storm,头骨风暴,头骨风暴,-
Damage Dice,伤害骰子,骰威,-
Damage Scaling,伤害缩放,败余,-
Director Of The Board,操盘手,局督,-
Drawn Out,抽离之力,引积,-
Fabled,稀有传奇,罕传,-
Firepower,火焰之力,火威,-
Follow The Leader,跟随领导,随长,-
Greenhorn,绿芽,绿角,-
Half Charged,半充能,半充,-
Hand On Heart,手按心,按心,-
Health Damage,生命伤害,命威,-
Herding Beast,放牧兽,群蹄,-
Lithophile,亲石者,亲石,-
Magicke Power,魔法力量,术威,-
One Half Squirrels,半只松鼠,半鼠,-
Pack Hunter,犬之猎,群犬,-
Pack Power,道具力量,器威,-
Pack Power Plus,双重道具力量,重器威,-
Sanguine Bond,狂热血祭,血契,-
Sin Eater,罪食者,食罪,-
Strength In Numbers,众志成城,众威,-
Trinket Vitality,道具生命力,器命,-
World Wide Web,万维网,天网,-
Abstain,忍住,止,-
Dupeglitch,丰产囤积狂,孳囤,-
Sinister Strike,左前打击,左斜击,-
Bully,横行霸道,凌,-
Legion,集团,军,-
Bloodborn,血魔,血裔,-
Divination,占星师,卜,-
Exhume,寻墓者,发冢,-
Eternal,天使坠落,恒,-
Goated,山羊召唤,召羊,-
Healer,治疗师,医,-
Acid Puddle,酸液滩,酸沼,-
Abundance,五谷丰登,丰,-
Acidic Trail,酸性痕迹,酸迹,-
Activated Latch Brittle,脆骨激转,启脆,-
Activated Latch Explode On Death,炸弹激转,启殉爆,-
Activated Latch Nano Shield,坚盾激转,启坚盾,-
Activated Latch Reach,高跳激转,启高跃,-
Agile,敏捷,捷,-
All seeing,全知之眼,全见,-
Alternating Scratch,交替爪迹,交爪,-
Ambush,伏击,伏,-
Antler Bearer,鹿角商,荷角,-
Shielded,屏蔽,蔽,-
Asleep,休眠,寐,-
Noble Sacrifice,卓越祭品,贵祭,-
Blight,枯萎之血,凋血,-
Random Strike,随机打击,漫击,-
Blinding Strike,致盲打击,盲击,-
Blood Growth,血液生长,长血,-
Blood shifter,嗜血易形,血移,-
Bodyguard,保镖,卫,-
Bombardier,投弹虫,投爆者,-
Bond,情同手足,契,-
Bone Shard,骨头碎片,骨屑,-
Box,盒中之物,匣,-
Broken,破碎,残,-
Choreography,舞蹈编排,舞度,-
Coin Finder,硬币寻找者,索箔,-
Consumer,消费者,啖,-
Cowardly,懦夫,怯,-
Deadly Waters,死亡水域,死水,-
Deathburst,死亡爆发,死爆,-
Desperation,绝望之力,穷急,-
Disease Absorbtion,疫病汲取,吸疠,-
Dive (Bones),骨驱水袭,骨潜,-
Dive (Energy),电驱水袭,能潜,-
Multi-Strike,多重打击,连击,-
Double scratch,双重爪迹,双爪,-
Draw Blood,血绘者,引血,-
Draw Bone,骨绘者,引骨,-
Draw Card,冰绘者,引化,-
Draw Jackalope,鹿角兔子洞,引鹿角兔,-
Draw Strafe,冲刺绘者,引移,-
Draw Cost,花费绘者,引同直,-
Draw Energy,能量绘者,引能,-
Draw Mox,魔绘者,引玛珂,-
Support call,支援呼叫,援呼,-
Drunk,醉酒,醉,-
Dwarf,矮人,矮,-
Dying,奄奄一息,将死,-
To The Slaughter,前往屠杀,赴屠,-
Electric,电力制导,电裂,-
Enforcer,执法者,纠,-
Enrage,超频领袖,狂帅,-
Entomophage,噬虫菌体,啖虫,-
Fearful,胆战心惊,惧,-
Charge,充能感应,骨冲,-
Firestarter,星火燎原,然火,-
Lure,饵钓潜袭,诱,-
Bone lord 5,骨魔,骨王五,-
Frightened,惊恐,惊,-
Frightful,令人生畏,骇,-
Grazing,放牧,啮草,-
Gripper,夹持器,攫,-
Haste,匆忙,亟,-
Hasteful,急于求成,先击,-
Herd,芸芸众生,滋群,-
Hermit,隐士,隐,-
High Tide,涨潮之时,潮涨,-
Homing,宾至如归,趋的,-
Hoodini,变幻莫测,幻换,-
Host,巢穴,巢,-
Exhaustion,积劳成疾,惫,-
Hyped,激动,奋,-
Imbuing,注灵,赋灵,-
Inaccurate,未知之触,失准,-
Old Timer,岁月年华,老成,-
Injured,受伤,伤,-
Instant,转瞬即逝,立尽,-
Launcher,启示之作,发物,-
Lead (Bones),骨骼领导,骨导,-
Lead (Energy),能量领导,能导,-
Leech,嗜血之蛭,蛭,-
Left scratch,左侧爪迹,左爪,-
Life Gambler,生命赌徒,赌命,-
Linguist,语言学家,舌师,-
Low Tide,退潮之时,潮退,-
Lullaby,摇篮曲,眠谣,-
Maneuver,调遣,调行,-
Medic,医疗兵,医,-
Medical Aid,医疗救助,救疗,-
Midas,点石成金,点金,-
Mount,固定装置,载,-
Power from Movement,运动的力量,动益,-
Nurse,护士,护医,-
Nutritious,营养丰富,饶养,-
Bone hoarder 1,骨礼,藏骨一,-
Opportunist,机会主义者,乘隙,-
Dog Gone,猎犬者,犬克,-
Fowl Play,戏鸟者,鸟克,-
Insectivore,食虫者,食虫,-
Snakebite,捕蛇者,噬蛇,-
Orange Inspiration,橙色灵感,红感,-
Organ Thief,器官盗贼,盗脏,-
Osteoklepty,窃骨术,窃骨,-
Other Side,彼岸,彼岸,-
Painful Presence,痛苦占场,苦临,-
Paralytic,麻痹,痹,-
Parthenogenesis,单性生殖,单生,-
Perfect Form,完美形态,完形,-
Phantasmic,移形换影,幻行,-
Piercing,穿刺,穿,-
Pinnacle Strike,巅峰打击,极击,-
Point Nemo,涨潮者,海极,-
Potent,强力献祭,强祀,-
Preemptive Strike,预先攻击,先发,-
Propagation,传播者,孳,-
Prophecy,预言家,预言,-
Pure Heart,纯净之心,纯心,-
Pushover,软柿子,易殪,-
Put Sentry Here,步哨工程师,置哨于此,-
Quad Strike,四重攻击,四击,-
Quickdraw,快攻,速陈,-
Ranger,突击员,游击,-
Ravenous,贪婪之噬,饕,-
Recharge,蓄势,复能,-
Recycle,回收利用,回用,-
Reflective,镜面反击,映威,-
Regenerator,万象更新,自新,-
Rememberance,纪念之花,追念,-
Remote Controlled,遥控,遥御,-
Reroute,重新定向,易路,-
Resilient,百折不挠,韧,-
Retreat,退却,遁,-
Return Strike,复仇攻击,反击,-
Revolve,时针顺之魂,周旋,-
Ripper,开膛手,剖者,-
Rock Eater,磐石吞噬者,食磐,-
Ruby Core,红宝石核芯,红玉核,-
Running Strike,奔袭打击,奔击,-
Rupture,割裂之触,裂触,-
Sanguine,血祭力量,血威,-
Shield Absorption,坚盾吸收,吸盾,-
Rapid Recycle,极速回收,疾回用,-
Supercharge,超载充能,亢充,-
Copy and Paste,复制粘贴,摹移,-
Cannon Fire,炮火轰击,炮击,-
Recharge Reserves,充能储备,储充,-
Holo Weaver,全息编织者,幻织,-
Future Sight,未来视界,先见,-
Fossil Fuel,化石燃料,石脂,-
Dispenser,售货机,予器,-
Overcharge,电能过载,过充,-
Enrage,超频领袖,怒充,-
Drive,驱动,驱,-
D-Pad,十字键,十键,-
D-Pad Left,十字键左进,左键,-
D-Pad Right,十字键右进,右键,-
Submerge,下潜,潜,-
Tow Hook,拖拽钩,牵钩,-
Button Pusher,按键狂魔,叩键者,-
Parasitic Control,寄生控制,寄御,-
Energy Power,能量力量,能威,-
Holo Trap,全息陷阱,幻阱,-
Brittle Lord,脆骨王,脆主,-
Buck Wild,狂野冲撞,狂突,-
Burning Slot,燃烧卡槽,燔位,-
Burnt Out,过燃,焚尽,-
Catch Fire,引燃,然火,-
Transforms When Unpowered,失能退化,失能易形,-
Waterborne When Unpowered,失能水袭,失能潜袭,-
Short Circuit,充能短路,短路,-
Transforms When Powered,充能进化,得能易形,-
Explodonate When Powered,充能樱桃炸,得能殉爆,-
Mental Gemnastics When Powered,充能金属风宝,得能玉智,-
Trap When Powered,充能陷阱,得能阱,-
Unkillable When Powered,充能不死,得能不死,-
Splice Conduit,接合管道,接渠,-
Stinky Conduit,臭臭管道,恶臭渠,-
Airborne Conduit,空袭管道,翔袭渠,-
Gas Conduit,燃气管道,燃渠,-
Bedazzling Conduit,璀璨管道,炫渠,-
Static Electricity,静电传导,静电,-
Gas Generator,燃气发电机,燃机,-
Conduit Protector,管道守护者,护渠者,-
Dead Byte,死亡字节,死节,-
Double Sprinter,双重冲刺,再驰,-
Brittle Summoner,脆骨召唤师,召脆,-
Iterate,迭代,迭出,-
Tinkerer,机械师,机工,-
Phasers Ready,相位炮就绪,相炮备,-
Combat Research,作战研习,战研,-
Electric,电力制导,旁电,-
Green Mox Buff,绿色玛珂增益,绿玛珂益,-
Emerald Blessing,绿宝石祝福,绿玉福,-
Emerald Shard,绿宝石碎片,绿玉屑,-
Armor Giver,坚盾予者,予铠者,-
Energy Siphon,能量虹吸,吸能,-
Explodonate,樱桃炸,殉爆,-
Fire Strike,火焰打击,火击,-
Fire Strike When Fueled,燃料火击,得油火击,-
Flame Stoker,煽风点火,鼓焰,-
Fling,抛掷,掷,-
Upgrade,强制升级,强升,-
Blood Donation,献血装置,输血,-
Stone Giver,磐石之赠,予磐,-
Dust Giver,风尘之赠,予尘,-
Coal Roller,煤炭滚轮,煤轮,-
Gem Ignition,宝石点火器,玉燃,-
Fuel Strike,燃料打击,油击,-
Fuel,燃料,油,-
Fuel Shield,燃料护盾,油盾,-
Fuel Siphon,燃料虹吸,吸油,-
Full of Blood,血液满溢,盈血,-
Full of Oil,燃油满溢,盈油,-
Fully Loaded,满载,满载,-
Defend,防御,御,-
Blue Mox Gift,蓝色玛珂之赠,蓝玛珂之赠,-
Blue Mox Looter,蓝色玛珂劫掠,蓝玛珂掠,-
Purist With Blue,纯蓝主义,蓝纯,-
Annoying Without Green,无绿生厌,无绿则可厌,-
Green Mox Gift,绿色玛珂之赠,绿玛珂之赠,-
Brittle Without Orange,无橙即碎,无橙则脆,-
Orange Mox Airborne,橙色玛珂空袭,橙玛珂翔袭,-
Orange Mox Printer,橙色玛珂打印机,橙玛珂印机,-
Gem Strike,宝石打击,玉击,-
Emerald Power,绿宝石力量,绿玉威,-
Hopper,跑赢,跃,-
Kraken Transformer,克拉肯易形,克拉肯易形,-
Annoying Latch,恼人传花,可厌遗契,-
Death Latch,死亡传花,死遗契,-
First Latch,首印传花,首印遗契,-
Airborne Latch,空袭传花,翔袭遗契,-
Conduit Latch,管道传花,虚渠遗契,-
Rampage Latch,冲撞传花,横冲遗契,-
Stinky Latch,臭臭传花,恶臭遗契,-
Swapper Latch,交换传花,易数遗契,-
Lootbox,战利品箱,掠匣,-
Synchronized Fate,生死与共,同命,-
Magic Dust,魔法粉尘,灵尘,-
Blue Mox Slot,蓝色玛珂卡槽,蓝玛珂位,-
Orange Mox Slot,橙色玛珂卡槽,橙玛珂位,-
Green Mox Slot,绿色玛珂卡槽,绿玛珂位,-
Great Mox Slot,至尊玛珂卡槽,至尊玛珂位,-
Miner,探矿者,矿夫,-
Rubber Stamp,橡皮图章,印模,-
Launch Missile,导弹发射器,发弹,-
Launch Self,自我发射器,自发,-
Flammable,易燃,易燔,-
Arsonist,纵火狂,纵火,-
Refueler,加油站,补油者,-
Second Chance,死灰复燃,再起,-
Bonus Energy Conduit,额外能量管道,余能渠,-
Skeleclocked,外骨骼超频,骨机化,-
Overheat,过热,亢热,-
Power Drain,能量流失,耗能,-
Nerf This!,来Nerf这招！,削此！,-
Apotheosis,无形神物,登神,-
Alarm Clock,闹钟机器人,报时机,-
Ruby Blessing,红宝石祝福,红玉福,-
Orange Mox Warrior,橙色玛珂战士,橙玛珂武者,-
Burst,轰然炸裂,爆,-
Gem Consumer,宝石吞噬者,噬玉者,-
Emergence Latch,奔涌传花,涌遗契,-
Macabre Growth,惊悚蜕变,凶长,-
Shatter,分崩离析,碎,-
Guts Sacrifice,内脏祭品,腑祀,-
Blue Mox Charger,蓝色玛珂充能器,蓝玛珂充者,-
Sapphire Blessing,蓝宝石祝福,蓝玉福,-
Scrap Dumper,废料倾卸机,倾废者,-
Scrap Salvage,废物利用,废取,-
Bulldoze,推土机,推辟,-
Shred,零敲碎打,裂牌,-
Side Deck Power,副牌组力量,副列威,-
Slimed Slot,黏液卡槽,涎位,-
Phase Through,相位穿梭,穿相,-
Solar Heart,太阳之心,日心,-
Solar Powered,太阳能供电,日能,-
Overwhelming Entrance,强势入场,压入,-
Summon Familiar,使魔召唤,召使魔,-
Zip of Death,死亡时速,疾毙,-
Target Required,目标锁定,有敌乃击,-
Controlled,操控,见御,-
Slimeball,黏液球,涎丸,-
Slime Vandal,史莱姆破坏者,涎贼,-
Full of Guts,内脏炸弹,满腑,-
Seed Sprinter,种子掉落,遗种驰,-
Vessel Heart,容器之心,皿心,-
Urchin Spawn Conduit,海胆生成管道,海胆生渠,-
Double Death,双重死亡,再死,-
Head Shot,爆头射击,枭首,-
Mine Cryptocurrency,加密货币矿机,采密币,-
Stamp Paperwork,盖章文件,印牍,-
Big Strike,强力打击,并击,-
Multiverse Bomb Latch,多元宇宙炸弹传花,诸界爆弹遗契,-
Multiverse Brittle Latch,多元宇宙脆骨传花,诸界脆骨遗契,-
Multiverse Detonator,多元宇宙引爆器,诸界引爆,-
Multiverse Full of Oil,多元宇宙燃油满溢,诸界盈油,-
Multiverse Fully Loaded,多重宇宙满载,诸界满载,-
Multiverse Guardian,多元宇宙守护者,诸界守者,-
Multiverse Burrower,多元宇宙钻地龙,诸界潜龙,-
Multiverse Null Conduit,多元宇宙空无管道,诸界虚渠,-
Multiverse Mighty Leap,多元宇宙高跳,诸界高跃,-
Multiverse Sentry,多元宇宙哨兵,诸界哨兵,-
Multiverse Shield Latch,多元宇宙坚盾传花,诸界微铠遗契,-
Multiverse Sprinter,多元宇宙冲刺能手,诸界驰者,-
Multiverse Strike,多重宇宙打击,诸界击,-
Multiverse Great Mox,多元宇宙至尊玛珂,诸界至尊玛珂,-
Multiverse Hoarder,多元宇宙囤积狂,诸界藏者,-
Hurt-n-Heal Conduit,伤害治疗管道,伤疗渠,-
Basic Token,基础代币,凡符,-
Improved Token,强化代币,良符,-
Rare Token,稀有代币,稀符,-
Blockchain,区块链,链块,-
GollyCoin,乖乖币,乖币,-
Virus Scanner,病毒扫描器,毒检器,-
Blood Vessel,血能容器,血皿,-
Spring Vessel,弹簧容器,簧皿,-
Conduit Vessel,管道容器,渠皿,-
Dredging Vessel,挖泥容器,浚皿,-
Turbo Vessel,涡轮容器,迅皿,-
Turbo Sapphire Vessel,涡轮蓝宝石容器,迅蓝玉皿,-
Turbo Ruby Vessel,涡轮红宝石容器,迅红玉皿,-
Turbo Emerald Vessel,涡轮绿宝石容器,迅绿玉皿,-
Turbo Blood Vessel,涡轮血能容器,迅血皿,-
Turbo Spring Vessel,涡轮弹簧容器,迅簧皿,-
Turbo Conduit Vessel,涡轮管道容器,迅渠皿,-
Turbo Dredging Vessel,涡轮挖泥容器,迅浚皿,-
Firewall,防火墙,火墙,-
Replicating Firewall,复制体防火墙,孳火墙,-
Hunter Brain,赏金猎人脑,捕脑,-
Activated Hunter,激活的赏金猎人,启捕者,-
Ghoulware,鬼灵软件,鬼件,-
Generator,发电机,电枢,-
Power Sink,能量塔,蓄能塔,-
Failed Experiment,失败实验体,败验体,-
Experiment #1,实验体1号,验体一,-
Skeleton Master,骷髅大师,枯骨主,-
Conveyor Latcher,传带传递者,传带遗契者,-
Sky Latcher,天空传递者,天遗契者,-
SearchBot,搜索机器人,索机,-
AmmoBot,弹药机器人,弹机,-
Necronomaton,死灵机甲,死灵机偶,-
Zombie Process,僵尸进程,尸程,-
Skel-E-Cell,骷髅电池,骨电匣,-
Airspace Conduit,空域管道,翔域渠,-
Foul Conduit,污秽管道,秽渠,-
Copypasta,复制粘贴,摹贴,-
FrankenCell,弗兰肯电池,缝电匣,-
Swapper Latcher,交换传递者,易数遗契者,-
Zip Bomb,压缩炸弹,疾爆,-
Ruby Sentinel,红宝石哨兵,红玉哨,-
Emerald Sentinel,绿宝石哨兵,绿玉哨,-
Sapphire Sentinel,蓝宝石哨兵,蓝玉哨,-
Revignite,审燃员,复焰者,-
Street Sweeper,街道清扫者,扫街者,-
Shield Smuggler,护盾走私者,私盾者,-
Pity Seeker,怜悯搜寻者,乞怜者,-
Urch1n Conduit,机械海胆管道,海胆渠,-
Sui-Cell,自毁电池,殉电匣,-
Flamecharmer,火焰驯服者,驯焰者,-
Artillery Droid,火炮机器人,炮机人,-
Ultra Bot,究极机器人,极机,-
Energy Vampire,能量吸血鬼,吸能魅,-
Orange Juicer,橙汁榨取机,榨橙者,-
Encapsulator,封装机,封机,-
Sir Blast,爆破爵士,爆爵,-
Lockjaw Cell,锁颚电池,锁颌匣,-
Replica Bleene,蓝绿橙复制体,蓝绿之副,-
Replica Orlu,橙蓝绿复制体,橙蓝之副,-
Replica Goranj,绿橙蓝复制体,绿橙之副,-
Gem Auger,宝石钻机,钻玉者,-
Sparkplug Cell,火花塞电池,火塞匣,-
Bomb Latcher,炸弹传递者,爆弹遗契者,-
Shield Latcher,坚盾传递者,坚盾遗契者,-
Skel-E-Latcher,骷髅传递者,枯骨遗契者,-
Painbot,痛苦机器人,苦机,-
Dogbot,机器狗,机犬,-
Data Cube,数据魔方,数匣,-
Laser Rifle,激光步枪,光铳,-
Amplification Coil,增幅线圈,益幅环,-
Stickers,贴纸,贴签,-
Missiles,导弹,飞弹,-
Missing Remote,遥控器丢了,失遥器,-
Turbo Vessels,涡轮容器,迅皿,-
Broken Bridges,断桥,断桥,-
Pricey Upgrades,昂贵升级,贵升,-
Eccentric Painter,古怪画师,诡画者,-
Energy Hammer,能量锤,能槌,-
Costly Respawn,昂贵复活,贵复生,-
Leaping Side Deck,跳跃副牌组,跃副牌列,-
Wanted Fugitive,通缉逃犯,购逃者,-
Strange Encounters,奇异遭遇,异遭,-
Scarlet Skull,猩红头骨,绯髑,-
Book of the Dead,亡灵之书,亡书,-
Battle Frenzy,战斗狂热,战狂,-
Calling for Backup,呼叫支援,召援,-
Accelerated Fuse,加速引信,促燧,-
Aimless Assault,无的放矢,妄击,-
Rebuild From Scrap,废料重组,自废更构,-
Absolution,绝对压制,尽压,-
The Perfect Crime,完美犯罪,至完之罪,-
Energy Expended,消耗能量,费能,-
Hammer Blows Dealt,锤击次数,槌击,-
Abominations Created,创造怪胎,怪成,-
Quests Completed,完成任务,竟事,-
Bounty Hunters Killed,击杀赏金猎人,毙购捕者,-
Special Hammer Mod,特殊锤子模组,异槌模组,-
Incredible Drafting Mod,绝赞选牌模组,妙择模组,-
mod,模组,补缀,-
modder,模组作者,补缀者,-
draft token,选牌代币,择牌符,-
drafting mod,选牌模组,择牌补缀,-
hammer mod,锤子模组,槌补缀,-
Gollycoin,乖乖币,乖币,-
non-functional trinket,非功能性藏品,无用之器,-
contraband,违禁品,违品,-
research assistant,研究助手,研助,-
radio tower,信号塔,讯塔,-
data burst,数据脉冲,机脉,-
power collection device,能量收集装置,聚能器,-
broken-down bots,报废机器人,废机,-
Global Conveyor Consortium,全球传送带联盟,寰输带盟,-
Bot Battle Conveyor Belts,机器人战斗传送带,机战输带,-
combat trials,战斗测试,斗试,-
warp node,传送节点,迁节点,-
monitors,监视器,监镜,-
